,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
901,201900013410,138 281 495,A01,1,30,0,0,0,1,1,,19,3,2019,18:14,2,75,75113,2,1,1,7,RUE DUNOIS,48.830055,2.370857
902,201900013411,138 281 493,A01,1,33,0,2,3,12,1,,19,3,2019,10:30,1,75,75112,2,1,1,2,BOULEVARD PONIATOWSKI,48.830949,2.396047
903,201900013412,138 281 492,B01,2,1,0,2,0,1,5,,18,3,2019,00:01,5,75,75101,2,7,1,3,PONT AU CHANGE,48.857242,2.347113
904,201900013413,138 281 490,A01,2,33,0,2,1,1,1,,19,3,2019,16:55,1,75,75108,2,3,1,6,AVENUE MARCEAU,48.866143,2.299842
905,201900013414,138 281 488,B01,1,50,0,2,0,16,3,,19,3,2019,09:10,1,75,75108,2,7,1,3,PLACE DE L ALMA,48.864388,2.3018
906,201900013415,138 281 485,B01,2,32,0,2,2,18,1,,19,3,2019,09:00,1,75,75108,2,2,1,3,RUE DE LISBONNE,48.877881,2.318165
907,201900013417,138 281 483,A01,1,34,0,1,1,1,1,,18,3,2019,12:00,1,75,75108,2,2,1,6,RUE DU FAUBOURG SAINT HONORE,48.86879,2.321846
908,201900013418,138 281 481,B01,1,33,0,2,7,1,1,,19,3,2019,11:30,1,75,75101,2,7,1,3,QUAI FRANCOIS MITTERRAND,48.860089,2.333511
909,201900013637,138 281 024,A01,1,43,0,2,7,1,1,,4,2,2019,19:25,4,75,75120,2,1,1,6,PORTE DE MONTREUIL,48.859033,2.41411
910,201900013638,138 281 022,B01,2,33,0,2,1,3,1,,4,2,2019,16:45,1,75,75118,2,1,1,2,PORTE DE CLIGNANCOURT,48.900935,2.338542
911,201900013639,138 281 020,B01,1,33,0,2,3,3,1,,18,1,2019,08:30,1,75,75120,2,1,1,3,BOULEVARD PERIPHERIQUE,48.852713,2.414464
912,201900013640,138 281 017,B01,2,43,1,2,1,17,1,,5,2,2019,18:40,5,75,75116,2,1,1,3,AVENUE KLEBER,48.870731,2.29284
913,201900013642,138 281 014,A01,2,33,0,1,7,5,1,,3,2,2019,14:57,1,75,75107,2,2,1,6,AVENUE DU MARECHAL GALLIENI,48.85995,2.313098
914,201900013645,138 281 010,B01,1,1,0,2,1,17,5,,4,2,2019,13:50,1,75,75119,2,1,8,2,AVENUE DE LA PORTE DE LA VILLETTE,48.899077,2.386741
915,201900013646,138 281 008,B01,2,33,0,2,1,1,1,,5,2,2019,02:15,5,75,75118,2,7,1,3,RUE DU MONT CENIS,48.896041,2.346282
916,201900013647,138 281 007,A01,1,30,0,1,1,1,1,,4,2,2019,17:20,2,75,75118,2,3,2,6,BOULEVARD BARBES,48.88423,2.34947
917,201900013648,138 281 005,B01,1,30,0,2,2,1,1,,4,2,2019,14:30,1,75,75118,2,3,1,3,BOULEVARD ORNANO,48.89271,2.348749
918,201900013650,138 281 003,A01,1,30,0,2,2,1,1,,4,2,2019,13:30,1,75,75117,2,1,1,6,BOULEVARD DE DOUAUMONT,48.895666,2.30712
919,201900013651,138 281 001,B01,3,32,0,2,4,1,1,,5,2,2019,19:30,5,75,75116,2,2,1,2,ROUTE DE SURESNES,48.865037,2.234444
920,201900013652,138 280 999,Z01,2,30,0,1,3,1,0,,5,2,2019,10:25,1,75,75116,2,1,1,6,RUE MESNIL,48.868256,2.284401
921,201900013653,138 280 997,B01,2,33,0,2,1,1,1,,3,2,2019,02:55,5,75,75116,2,2,1,3,ALLEE DE LONGCHAMP,48.86347,2.239386
922,201900013654,138 280 995,B01,2,30,0,2,5,20,3,,5,2,2019,20:00,5,75,75115,2,1,1,2,RUE DE LA CONVENTION,48.838628,2.293362
923,201900013656,138 280 992,B01,2,33,0,2,8,1,1,,4,2,2019,20:30,5,75,75107,2,3,1,3,BOULEVARD DES INVALIDES,48.856212,2.314828
924,201900013657,138 280 990,A01,1,33,0,0,8,1,1,,5,2,2019,09:40,1,75,75112,2,1,1,7,RUE VAN GOGH,48.844029,2.371952
925,201900013658,138 280 989,B01,2,32,0,2,5,17,1,,5,2,2019,10:05,1,75,75112,2,1,1,3,RUE DE CHARENTON,48.838397,2.389884
926,201900013659,138 280 987,B01,1,1,0,2,5,1,5,,5,2,2019,16:00,1,75,75111,2,1,1,3,BOULEVARD VOLTAIRE,48.851322,2.390992
927,201900013660,138 280 985,B01,0,33,0,2,1,1,1,,5,2,2019,10:45,1,75,75111,2,1,8,3,BOULEVARD VOLTAIRE,48.865363,2.367435
928,201900013661,138 280 983,A01,2,30,0,0,0,16,3,,4,2,2019,20:50,5,75,75111,2,2,1,7,RUE AMELOT,48.859543,2.368184
929,201900013665,138 280 979,A01,3,32,0,0,2,16,1,,4,2,2019,08:23,2,75,75107,2,7,1,7,ROND POINT DU BLEUET DE FRANCE,48.858432,2.313356
930,201900013666,138 280 978,A01,3,80,0,0,7,1,3,,4,2,2019,08:20,2,75,75107,2,7,1,7,ROND POINT DU BLEUET DE FRANCE,48.858432,2.313356
931,201900013764,138 280 804,B01,1,33,0,2,3,3,1,,16,10,2019,18:30,2,75,75119,2,1,1,4,BD PERIPHERIQUE INTERIEUR,48.8891316,2.3963191
932,201900013765,138 280 798,A01,1,34,0,2,1,3,1,,16,10,2019,18:30,2,75,75112,2,1,2,4,BD PERIPHERIQUE INTERIEUR,48.828178,2.396136
933,201900013766,138 280 796,B01,1,31,0,2,1,3,1,,16,10,2019,08:00,1,75,75112,2,4,2,4,BD PERIPHERIQUE INTERIEUR,48.8359939,2.4120216
